"","DateTime","PR.MTP..BHZ.M"
"1",2010-01-12 21:00:00,3114.55
"2",2010-01-12 21:00:01,2914.9
"3",2010-01-12 21:00:02,2189.15
"4",2010-01-12 21:00:03,2253.2
"5",2010-01-12 21:00:04,3212.85
"6",2010-01-12 21:00:05,2971.65
"7",2010-01-12 21:00:06,2283
"8",2010-01-12 21:00:07,2505.35
"9",2010-01-12 21:00:08,2867.65
"10",2010-01-12 21:00:09,2909.45
"11",2010-01-12 21:00:10,2732.75
"12",2010-01-12 21:00:11,2137.25
"13",2010-01-12 21:00:12,2774.9
"14",2010-01-12 21:00:13,3156.95
"15",2010-01-12 21:00:14,2502.9
"16",2010-01-12 21:00:15,2540.75
"17",2010-01-12 21:00:16,2544.75
"18",2010-01-12 21:00:17,2696.7
"19",2010-01-12 21:00:18,2915.3
"20",2010-01-12 21:00:19,2377.75
"21",2010-01-12 21:00:20,2621.35
"22",2010-01-12 21:00:21,2891.15
"23",2010-01-12 21:00:22,2845
"24",2010-01-12 21:00:23,2694.7
"25",2010-01-12 21:00:24,2416.5
"26",2010-01-12 21:00:25,2201.1
"27",2010-01-12 21:00:26,2808.65
"28",2010-01-12 21:00:27,3553.25
"29",2010-01-12 21:00:28,2519.85
"30",2010-01-12 21:00:29,1794.4
"31",2010-01-12 21:00:30,2858.5
"32",2010-01-12 21:00:31,3535.8
"33",2010-01-12 21:00:32,2418.6
"34",2010-01-12 21:00:33,2076.8
"35",2010-01-12 21:00:34,2625.5
"36",2010-01-12 21:00:35,3147.55
"37",2010-01-12 21:00:36,2886.5
"38",2010-01-12 21:00:37,2351.3
"39",2010-01-12 21:00:38,2260
"40",2010-01-12 21:00:39,2874
"41",2010-01-12 21:00:40,2919.3
"42",2010-01-12 21:00:41,2587.5
"43",2010-01-12 21:00:42,2628
"44",2010-01-12 21:00:43,2529.35
"45",2010-01-12 21:00:44,2825.95
"46",2010-01-12 21:00:45,2980.3
"47",2010-01-12 21:00:46,2599.5
"48",2010-01-12 21:00:47,2295.75
"49",2010-01-12 21:00:48,2779.3
"50",2010-01-12 21:00:49,3000.5
"51",2010-01-12 21:00:50,2456.75
"52",2010-01-12 21:00:51,2601.9
"53",2010-01-12 21:00:52,2739.9
"54",2010-01-12 21:00:53,2887.5
"55",2010-01-12 21:00:54,2479.15
"56",2010-01-12 21:00:55,2506.05
"57",2010-01-12 21:00:56,2684.5
"58",2010-01-12 21:00:57,2555.7
"59",2010-01-12 21:00:58,3070.05
"60",2010-01-12 21:00:59,2465.6
"61",2010-01-12 21:01:00,2906.45
"62",2010-01-12 21:01:01,2673.7
"63",2010-01-12 21:01:02,2153.55
"64",2010-01-12 21:01:03,2719.65
"65",2010-01-12 21:01:04,3049.2
"66",2010-01-12 21:01:05,2883.65
"67",2010-01-12 21:01:06,2280.1
"68",2010-01-12 21:01:07,2595.2
"69",2010-01-12 21:01:08,2996.95
"70",2010-01-12 21:01:09,2982.3
"71",2010-01-12 21:01:10,1781.55
"72",2010-01-12 21:01:11,2349.55
"73",2010-01-12 21:01:12,3127.4
"74",2010-01-12 21:01:13,3186.35
"75",2010-01-12 21:01:14,2709.95
"76",2010-01-12 21:01:15,1932.8
"77",2010-01-12 21:01:16,2875.85
"78",2010-01-12 21:01:17,3062.85
"79",2010-01-12 21:01:18,2371.3
"80",2010-01-12 21:01:19,2536.35
"81",2010-01-12 21:01:20,2981.4
"82",2010-01-12 21:01:21,2457.05
"83",2010-01-12 21:01:22,2920.1
"84",2010-01-12 21:01:23,2782.6
"85",2010-01-12 21:01:24,2621.4
"86",2010-01-12 21:01:25,2165.1
"87",2010-01-12 21:01:26,2792.5
"88",2010-01-12 21:01:27,3137.2
"89",2010-01-12 21:01:28,2422.9
"90",2010-01-12 21:01:29,2416.5
"91",2010-01-12 21:01:30,2991.4
"92",2010-01-12 21:01:31,2639.65
"93",2010-01-12 21:01:32,2627.65
"94",2010-01-12 21:01:33,2599.6
"95",2010-01-12 21:01:34,2592.15
"96",2010-01-12 21:01:35,2591.7
"97",2010-01-12 21:01:36,2824.4
"98",2010-01-12 21:01:37,2747
"99",2010-01-12 21:01:38,2789.85
"100",2010-01-12 21:01:39,2668.55
"101",2010-01-12 21:01:40,2372.45
"102",2010-01-12 21:01:41,2532.1
"103",2010-01-12 21:01:42,3050.2
"104",2010-01-12 21:01:43,2571.35
"105",2010-01-12 21:01:44,2241.5
"106",2010-01-12 21:01:45,3025.3
"107",2010-01-12 21:01:46,3017.3
"108",2010-01-12 21:01:47,2427.35
"109",2010-01-12 21:01:48,2217.7
"110",2010-01-12 21:01:49,2714.5
"111",2010-01-12 21:01:50,3238.9
"112",2010-01-12 21:01:51,2719.45
"113",2010-01-12 21:01:52,2200.65
"114",2010-01-12 21:01:53,2386.65
"115",2010-01-12 21:01:54,3132.7
"116",2010-01-12 21:01:55,2584.7
"117",2010-01-12 21:01:56,2433.2
"118",2010-01-12 21:01:57,3008.1
"119",2010-01-12 21:01:58,2885.8
"120",2010-01-12 21:01:59,2336.5
"121",2010-01-12 21:02:00,2736.2
"122",2010-01-12 21:02:01,2718.85
"123",2010-01-12 21:02:02,2811.9
"124",2010-01-12 21:02:03,2376.7
"125",2010-01-12 21:02:04,2776.25
"126",2010-01-12 21:02:05,2897
"127",2010-01-12 21:02:06,2496.35
"128",2010-01-12 21:02:07,2653.85
"129",2010-01-12 21:02:08,2677.8
"130",2010-01-12 21:02:09,2507.5
"131",2010-01-12 21:02:10,2919.9
"132",2010-01-12 21:02:11,2576.05
"133",2010-01-12 21:02:12,2783.65
"134",2010-01-12 21:02:13,2713.4
"135",2010-01-12 21:02:14,2448.95
"136",2010-01-12 21:02:15,2706.7
"137",2010-01-12 21:02:16,2825.95
"138",2010-01-12 21:02:17,2739.6
"139",2010-01-12 21:02:18,2352.9
"140",2010-01-12 21:02:19,2722
"141",2010-01-12 21:02:20,2893.15
"142",2010-01-12 21:02:21,2283.1
"143",2010-01-12 21:02:22,2808.35
"144",2010-01-12 21:02:23,2841.35
"145",2010-01-12 21:02:24,2823.95
"146",2010-01-12 21:02:25,2475.6
"147",2010-01-12 21:02:26,2302.05
"148",2010-01-12 21:02:27,2850.45
"149",2010-01-12 21:02:28,2790
"150",2010-01-12 21:02:29,2753.5
"151",2010-01-12 21:02:30,2491.2
"152",2010-01-12 21:02:31,2580.95
"153",2010-01-12 21:02:32,2809.3
"154",2010-01-12 21:02:33,2711.45
"155",2010-01-12 21:02:34,2722.45
"156",2010-01-12 21:02:35,2831.35
"157",2010-01-12 21:02:36,2431.35
"158",2010-01-12 21:02:37,2633.1
"159",2010-01-12 21:02:38,2883.5
"160",2010-01-12 21:02:39,2781.25
"161",2010-01-12 21:02:40,2525.55
"162",2010-01-12 21:02:41,2504.8
"163",2010-01-12 21:02:42,2702.8
"164",2010-01-12 21:02:43,2839.8
"165",2010-01-12 21:02:44,3035.2
"166",2010-01-12 21:02:45,2558.35
"167",2010-01-12 21:02:46,2131.7
"168",2010-01-12 21:02:47,2695.6
"169",2010-01-12 21:02:48,3144.55
"170",2010-01-12 21:02:49,2483.7
"171",2010-01-12 21:02:50,2551.35
"172",2010-01-12 21:02:51,2676.95
"173",2010-01-12 21:02:52,2942.45
"174",2010-01-12 21:02:53,2577.35
"175",2010-01-12 21:02:54,2562
"176",2010-01-12 21:02:55,2693.2
"177",2010-01-12 21:02:56,2620.8
"178",2010-01-12 21:02:57,2463.4
"179",2010-01-12 21:02:58,2798
"180",2010-01-12 21:02:59,3111.75
"181",2010-01-12 21:03:00,2456.9
"182",2010-01-12 21:03:01,1976.95
"183",2010-01-12 21:03:02,2847.05
"184",2010-01-12 21:03:03,3588.15
"185",2010-01-12 21:03:04,2725.05
"186",2010-01-12 21:03:05,1878.75
"187",2010-01-12 21:03:06,2375.8
"188",2010-01-12 21:03:07,3256.3
"189",2010-01-12 21:03:08,2938.45
"190",2010-01-12 21:03:09,2235.55
"191",2010-01-12 21:03:10,2348.1
"192",2010-01-12 21:03:11,3226.4
"193",2010-01-12 21:03:12,2908.95
"194",2010-01-12 21:03:13,2279.85
"195",2010-01-12 21:03:14,2483.8
"196",2010-01-12 21:03:15,2613
"197",2010-01-12 21:03:16,2739.85
"198",2010-01-12 21:03:17,2935.55
"199",2010-01-12 21:03:18,2738.3
"200",2010-01-12 21:03:19,2683.8
"201",2010-01-12 21:03:20,2708.65
"202",2010-01-12 21:03:21,2581.55
"203",2010-01-12 21:03:22,2438.95
"204",2010-01-12 21:03:23,2618.7
"205",2010-01-12 21:03:24,2908.25
"206",2010-01-12 21:03:25,2556.3
"207",2010-01-12 21:03:26,2756.55
"208",2010-01-12 21:03:27,3051.25
"209",2010-01-12 21:03:28,2459.65
"210",2010-01-12 21:03:29,2367.5
"211",2010-01-12 21:03:30,3028.85
"212",2010-01-12 21:03:31,2563.8
"213",2010-01-12 21:03:32,2235.15
"214",2010-01-12 21:03:33,2988.5
"215",2010-01-12 21:03:34,3259.55
"216",2010-01-12 21:03:35,2499.2
"217",2010-01-12 21:03:36,1974.2
"218",2010-01-12 21:03:37,2828.4
"219",2010-01-12 21:03:38,3185.8
"220",2010-01-12 21:03:39,2570.7
"221",2010-01-12 21:03:40,2129.55
"222",2010-01-12 21:03:41,3077.45
"223",2010-01-12 21:03:42,3084.15
"224",2010-01-12 21:03:43,2130.45
"225",2010-01-12 21:03:44,2408.8
"226",2010-01-12 21:03:45,3093.1
"227",2010-01-12 21:03:46,2946.55
"228",2010-01-12 21:03:47,2693.65
"229",2010-01-12 21:03:48,2273.8
"230",2010-01-12 21:03:49,2352.45
"231",2010-01-12 21:03:50,3166.15
"232",2010-01-12 21:03:51,2524.35
"233",2010-01-12 21:03:52,2659.15
"234",2010-01-12 21:03:53,3073.85
"235",2010-01-12 21:03:54,2581.3
"236",2010-01-12 21:03:55,2302.7
"237",2010-01-12 21:03:56,2764.3
"238",2010-01-12 21:03:57,2921.15
"239",2010-01-12 21:03:58,2782.55
"240",2010-01-12 21:03:59,2300.1
"241",2010-01-12 21:04:00,2783.65
"242",2010-01-12 21:04:01,2948.5
"243",2010-01-12 21:04:02,2717.25
"244",2010-01-12 21:04:03,2193.85
"245",2010-01-12 21:04:04,2369.2
"246",2010-01-12 21:04:05,3440.25
"247",2010-01-12 21:04:06,2926.75
"248",2010-01-12 21:04:07,2061.65
"249",2010-01-12 21:04:08,2423.4
"250",2010-01-12 21:04:09,3055.35
"251",2010-01-12 21:04:10,2984.85
"252",2010-01-12 21:04:11,2490.25
"253",2010-01-12 21:04:12,2372.85
"254",2010-01-12 21:04:13,2767
"255",2010-01-12 21:04:14,2965.2
"256",2010-01-12 21:04:15,2642.55
"257",2010-01-12 21:04:16,2257.7
"258",2010-01-12 21:04:17,2746.55
"259",2010-01-12 21:04:18,3134.45
"260",2010-01-12 21:04:19,2336.3
"261",2010-01-12 21:04:20,2477.2
"262",2010-01-12 21:04:21,2906.7
"263",2010-01-12 21:04:22,2610.25
"264",2010-01-12 21:04:23,2720.8
"265",2010-01-12 21:04:24,2545.5
"266",2010-01-12 21:04:25,2780.65
"267",2010-01-12 21:04:26,2710.5
"268",2010-01-12 21:04:27,2581.6
"269",2010-01-12 21:04:28,2789.5
"270",2010-01-12 21:04:29,2746
"271",2010-01-12 21:04:30,2663.4
"272",2010-01-12 21:04:31,2601.6
"273",2010-01-12 21:04:32,2561.9
"274",2010-01-12 21:04:33,2853.65
"275",2010-01-12 21:04:34,2898.75
"276",2010-01-12 21:04:35,2309.85
"277",2010-01-12 21:04:36,2297.55
"278",2010-01-12 21:04:37,3146.5
"279",2010-01-12 21:04:38,3210.25
"280",2010-01-12 21:04:39,2350.65
"281",2010-01-12 21:04:40,1870.95
"282",2010-01-12 21:04:41,2870.5
"283",2010-01-12 21:04:42,3175.85
"284",2010-01-12 21:04:43,2938.35
"285",2010-01-12 21:04:44,2192.45
"286",2010-01-12 21:04:45,2635.75
"287",2010-01-12 21:04:46,2650.7
"288",2010-01-12 21:04:47,2824.65
"289",2010-01-12 21:04:48,2628.65
"290",2010-01-12 21:04:49,2830.35
"291",2010-01-12 21:04:50,2674.6
"292",2010-01-12 21:04:51,2464
"293",2010-01-12 21:04:52,2748.45
"294",2010-01-12 21:04:53,2780.95
"295",2010-01-12 21:04:54,2769.25
"296",2010-01-12 21:04:55,2519.5
"297",2010-01-12 21:04:56,2358.8
"298",2010-01-12 21:04:57,3270.35
"299",2010-01-12 21:04:58,2830.45
"300",2010-01-12 21:04:59,2119.75
"301",2010-01-12 21:05:00,2557.4
"302",2010-01-12 21:05:01,3108.95
"303",2010-01-12 21:05:02,3001
"304",2010-01-12 21:05:03,2265.7
"305",2010-01-12 21:05:04,2299.8
"306",2010-01-12 21:05:05,3076
"307",2010-01-12 21:05:06,3138.9
"308",2010-01-12 21:05:07,1955.85
"309",2010-01-12 21:05:08,2304.8
"310",2010-01-12 21:05:09,3487.1
"311",2010-01-12 21:05:10,3168.4
"312",2010-01-12 21:05:11,2118.3
"313",2010-01-12 21:05:12,1952.25
"314",2010-01-12 21:05:13,3166.5
"315",2010-01-12 21:05:14,3111.65
"316",2010-01-12 21:05:15,2514.85
"317",2010-01-12 21:05:16,2327.35
"318",2010-01-12 21:05:17,2660.75
"319",2010-01-12 21:05:18,3106.5
"320",2010-01-12 21:05:19,2515.35
"321",2010-01-12 21:05:20,2280
"322",2010-01-12 21:05:21,2691.1
"323",2010-01-12 21:05:22,2954.1
"324",2010-01-12 21:05:23,2717.5
"325",2010-01-12 21:05:24,2607.1
"326",2010-01-12 21:05:25,2367.15
"327",2010-01-12 21:05:26,2752.25
"328",2010-01-12 21:05:27,3375.6
"329",2010-01-12 21:05:28,2562.35
"330",2010-01-12 21:05:29,1984.15
"331",2010-01-12 21:05:30,2828.35
"332",2010-01-12 21:05:31,2829.25
"333",2010-01-12 21:05:32,2676.8
"334",2010-01-12 21:05:33,2800.8
"335",2010-01-12 21:05:34,2589.05
"336",2010-01-12 21:05:35,2536.2
"337",2010-01-12 21:05:36,2642.1
"338",2010-01-12 21:05:37,2703.65
"339",2010-01-12 21:05:38,2732
"340",2010-01-12 21:05:39,2651.4
"341",2010-01-12 21:05:40,2634.55
"342",2010-01-12 21:05:41,2931.05
"343",2010-01-12 21:05:42,2666.75
"344",2010-01-12 21:05:43,2418.45
"345",2010-01-12 21:05:44,2516.7
"346",2010-01-12 21:05:45,2754.55
"347",2010-01-12 21:05:46,3060.05
"348",2010-01-12 21:05:47,2967.05
"349",2010-01-12 21:05:48,2230.75
"350",2010-01-12 21:05:49,2148.65
"351",2010-01-12 21:05:50,3077.8
"352",2010-01-12 21:05:51,3096.7
"353",2010-01-12 21:05:52,2332.8
"354",2010-01-12 21:05:53,2303.95
"355",2010-01-12 21:05:54,3034.9
"356",2010-01-12 21:05:55,3250.45
"357",2010-01-12 21:05:56,2335.35
"358",2010-01-12 21:05:57,2018.95
"359",2010-01-12 21:05:58,2727.2
"360",2010-01-12 21:05:59,3234.5
"361",2010-01-12 21:06:00,2559.35
"362",2010-01-12 21:06:01,2568.75
"363",2010-01-12 21:06:02,2732.65
"364",2010-01-12 21:06:03,2871.25
"365",2010-01-12 21:06:04,2374.55
"366",2010-01-12 21:06:05,2265.9
"367",2010-01-12 21:06:06,2714.4
"368",2010-01-12 21:06:07,3101.6
"369",2010-01-12 21:06:08,2653.7
"370",2010-01-12 21:06:09,2666.65
"371",2010-01-12 21:06:10,2578.75
"372",2010-01-12 21:06:11,2543.2
"373",2010-01-12 21:06:12,2812.75
"374",2010-01-12 21:06:13,2755.85
"375",2010-01-12 21:06:14,2643.5
"376",2010-01-12 21:06:15,2639.8
"377",2010-01-12 21:06:16,2678.2
"378",2010-01-12 21:06:17,2708.55
"379",2010-01-12 21:06:18,2765.8
"380",2010-01-12 21:06:19,2610.4
"381",2010-01-12 21:06:20,2581.05
"382",2010-01-12 21:06:21,2838.1
"383",2010-01-12 21:06:22,2750.85
"384",2010-01-12 21:06:23,2339.3
"385",2010-01-12 21:06:24,2538
"386",2010-01-12 21:06:25,2994.1
"387",2010-01-12 21:06:26,2709.65
"388",2010-01-12 21:06:27,2785.05
"389",2010-01-12 21:06:28,2572.2
"390",2010-01-12 21:06:29,2651.25
"391",2010-01-12 21:06:30,2641.15
"392",2010-01-12 21:06:31,2821.05
"393",2010-01-12 21:06:32,2639.15
"394",2010-01-12 21:06:33,2664.4
"395",2010-01-12 21:06:34,2727.4
"396",2010-01-12 21:06:35,2534.35
"397",2010-01-12 21:06:36,2769.7
"398",2010-01-12 21:06:37,2829.3
"399",2010-01-12 21:06:38,2325.85
"400",2010-01-12 21:06:39,2411.35
"401",2010-01-12 21:06:40,3079.55
"402",2010-01-12 21:06:41,3110.9
"403",2010-01-12 21:06:42,2448.4
"404",2010-01-12 21:06:43,2162.7
"405",2010-01-12 21:06:44,2994.7
"406",2010-01-12 21:06:45,3090.05
"407",2010-01-12 21:06:46,2551.45
"408",2010-01-12 21:06:47,2266
"409",2010-01-12 21:06:48,2738.2
"410",2010-01-12 21:06:49,3009.85
"411",2010-01-12 21:06:50,2529.4
"412",2010-01-12 21:06:51,2486
"413",2010-01-12 21:06:52,2955.3
"414",2010-01-12 21:06:53,2982.1
"415",2010-01-12 21:06:54,2003.3
"416",2010-01-12 21:06:55,2408
"417",2010-01-12 21:06:56,2887.4
"418",2010-01-12 21:06:57,2787.35
"419",2010-01-12 21:06:58,2848.1
"420",2010-01-12 21:06:59,2691.85
"421",2010-01-12 21:07:00,2666.8
"422",2010-01-12 21:07:01,2824.1
"423",2010-01-12 21:07:02,2064
"424",2010-01-12 21:07:03,2576.7
"425",2010-01-12 21:07:04,3397.55
"426",2010-01-12 21:07:05,3057.9
"427",2010-01-12 21:07:06,2026.4
"428",2010-01-12 21:07:07,2259.95
"429",2010-01-12 21:07:08,2976.2
"430",2010-01-12 21:07:09,3126.75
"431",2010-01-12 21:07:10,2364.9
"432",2010-01-12 21:07:11,2531.3
"433",2010-01-12 21:07:12,2508.25
"434",2010-01-12 21:07:13,2973.9
"435",2010-01-12 21:07:14,2956.8
"436",2010-01-12 21:07:15,2475.4
"437",2010-01-12 21:07:16,2323.55
"438",2010-01-12 21:07:17,2797.55
"439",2010-01-12 21:07:18,2947.85
"440",2010-01-12 21:07:19,2802.25
"441",2010-01-12 21:07:20,2453.8
"442",2010-01-12 21:07:21,2195.05
"443",2010-01-12 21:07:22,2952.6
"444",2010-01-12 21:07:23,2894.2
"445",2010-01-12 21:07:24,2604.05
"446",2010-01-12 21:07:25,2555.15
"447",2010-01-12 21:07:26,2713
"448",2010-01-12 21:07:27,2740.45
"449",2010-01-12 21:07:28,2503.8
"450",2010-01-12 21:07:29,2671.45
"451",2010-01-12 21:07:30,2855.6
"452",2010-01-12 21:07:31,2517.7
"453",2010-01-12 21:07:32,2739.6
"454",2010-01-12 21:07:33,2527.6
"455",2010-01-12 21:07:34,2558.2
"456",2010-01-12 21:07:35,3099.3
"457",2010-01-12 21:07:36,2869.25
"458",2010-01-12 21:07:37,2197.8
"459",2010-01-12 21:07:38,2632.75
"460",2010-01-12 21:07:39,2924.3
"461",2010-01-12 21:07:40,2580.5
"462",2010-01-12 21:07:41,2516.7
"463",2010-01-12 21:07:42,3129.65
"464",2010-01-12 21:07:43,2467.35
"465",2010-01-12 21:07:44,2433.25
"466",2010-01-12 21:07:45,2797.5
"467",2010-01-12 21:07:46,2829.15
"468",2010-01-12 21:07:47,2560.4
"469",2010-01-12 21:07:48,2851.55
"470",2010-01-12 21:07:49,2655.25
"471",2010-01-12 21:07:50,2494.2
"472",2010-01-12 21:07:51,2871.7
"473",2010-01-12 21:07:52,2607.55
"474",2010-01-12 21:07:53,2515.3
"475",2010-01-12 21:07:54,2569.2
"476",2010-01-12 21:07:55,3071.75
"477",2010-01-12 21:07:56,2470.9
"478",2010-01-12 21:07:57,2503.2
"479",2010-01-12 21:07:58,2587.05
"480",2010-01-12 21:07:59,3009.9
"481",2010-01-12 21:08:00,3007.8
"482",2010-01-12 21:08:01,2380.7
"483",2010-01-12 21:08:02,2282.4
"484",2010-01-12 21:08:03,2925.45
"485",2010-01-12 21:08:04,2874.8
"486",2010-01-12 21:08:05,2449.4
"487",2010-01-12 21:08:06,2875
"488",2010-01-12 21:08:07,2488.1
"489",2010-01-12 21:08:08,2780
"490",2010-01-12 21:08:09,2892.35
"491",2010-01-12 21:08:10,2416.4
"492",2010-01-12 21:08:11,2521.65
"493",2010-01-12 21:08:12,2752.5
"494",2010-01-12 21:08:13,2660.7
"495",2010-01-12 21:08:14,2761.5
"496",2010-01-12 21:08:15,2768.4
"497",2010-01-12 21:08:16,2743.75
"498",2010-01-12 21:08:17,2576
"499",2010-01-12 21:08:18,2598.95
"500",2010-01-12 21:08:19,2422.9
"501",2010-01-12 21:08:20,3074.35
"502",2010-01-12 21:08:21,2845.1
"503",2010-01-12 21:08:22,2102.5
"504",2010-01-12 21:08:23,2748.35
"505",2010-01-12 21:08:24,3269.15
"506",2010-01-12 21:08:25,2541.65
"507",2010-01-12 21:08:26,2315.15
"508",2010-01-12 21:08:27,2607.9
"509",2010-01-12 21:08:28,2797.8
"510",2010-01-12 21:08:29,2798.4
